,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH, EV24,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,20170101,201,51,53,70,3,10,23,100,3,16,0,15,32,3,0,18,0,0,55,16,6,3,16,1,10182,10227,1,10160,15,1,1,37,21,8,97,98,1,95,6
240,20170102,318,29,33,60,13,10,1,160,11,32,-1,7,67,11,-26,12,46,59,287,10,20,9,20,3,10235,10258,19,10197,1,27,1,80,14,5,83,96,1,69,14
240,20170103,268,71,72,90,11,40,1,140,18,57,16,1,74,23,3,6,7,9,131,4,4,3,3,2,10214,10252,2,10159,24,61,6,75,10,8,85,91,2,77,11
240,20170104,317,77,80,110,13,30,23,210,9,59,24,23,76,2,5,24,28,36,258,10,6,3,16,3,10175,10237,24,10145,4,38,2,72,22,6,76,92,2,63,8
240,20170105,54,22,30,50,12,10,19,80,13,3,-43,22,40,12,-79,24,62,79,382,0,-1,-1,1,4,10331,10403,24,10241,1,65,6,83,14,2,79,95,6,57,13
240,20170106,165,38,40,60,20,10,5,80,18,-25,-59,8,-2,23,-79,6,63,80,399,9,3,3,24,4,10386,10411,9,10343,24,47,24,75,1,8,78,93,24,68,12
240,20170107,200,35,41,70,2,10,19,110,3,7,-13,3,35,23,-25,24,0,0,63,25,9,4,4,1,10302,10334,1,10289,14,1,18,58,1,7,97,98,13,93,2
240,20170108,308,7,15,30,5,10,3,40,4,44,11,8,72,14,-6,6,2,3,127,0,0,0,1,2,10310,10320,11,10299,1,2,7,75,14,8,92,98,1,78,14
240,20170109,184,51,52,80,19,20,1,120,22,54,39,4,66,21,37,6,0,0,76,59,67,27,23,1,10191,10292,1,10064,24,2,5,59,1,8,96,98,5,94,1
240,20170110,229,32,38,80,1,20,9,130,1,57,31,5,74,14,15,6,23,29,235,19,13,4,9,3,10083,10107,20,10058,4,58,22,70,10,7,92,96,24,85,10
240,20170111,263,89,102,140,14,50,1,200,11,72,49,1,98,11,44,6,29,36,266,8,5,5,8,4,10054,10091,1,10021,10,33,8,67,24,6,78,96,1,64,23
240,20170112,255,54,71,110,1,20,22,170,1,53,2,24,79,12,2,24,15,19,196,101,169,31,21,3,10009,10091,2,9854,23,28,24,69,3,8,81,98,24,67,4
240,20170113,307,73,84,120,18,50,6,210,18,37,2,1,62,18,2,6,20,25,271,44,89,22,16,3,9989,10069,24,9879,1,24,1,80,13,7,78,98,1,62,23
240,20170114,311,49,54,100,1,20,23,170,1,25,0,24,49,1,-12,24,27,33,213,30,68,19,11,2,10128,10176,24,10078,1,38,21,80,16,6,82,94,12,63,1
240,20170115,265,13,19,30,1,10,8,60,1,11,-33,7,36,12,-54,12,16,20,240,0,-1,-1,1,3,10209,10241,24,10180,1,65,3,70,1,7,90,96,9,85,1
240,20170116,69,16,21,30,10,10,1,60,10,-8,-50,23,33,13,-72,24,68,83,484,0,0,0,1,5,10289,10347,24,10241,1,4,3,80,12,4,88,98,3,66,14
240,20170117,128,17,18,30,6,0,16,50,6,-35,-67,24,4,16,-83,24,37,45,413,0,-1,-1,1,4,10381,10400,21,10346,1,8,5,57,14,4,91,98,5,79,15
240,20170118,127,12,14,20,1,0,21,40,7,-34,-62,1,-16,15,-74,6,17,20,223,3,1,1,8,2,10398,10408,10,10388,24,2,4,32,16,8,97,98,1,94,14
240,20170119,77,12,13,20,1,10,2,70,13,-14,-57,6,48,14,-78,6,73,87,504,0,0,0,1,5,10381,10391,9,10370,24,26,2,82,16,1,79,96,2,40,16
240,20170120,66,24,25,40,19,0,2,60,18,3,-51,5,48,13,-75,6,70,83,449,0,0,0,1,5,10354,10367,1,10336,24,49,2,83,17,4,74,96,2,42,12
240,20170121,78,29,30,60,10,20,1,90,10,4,-49,24,46,14,-79,24,75,89,505,0,0,0,1,5,10300,10332,1,10279,16,42,4,72,14,2,89,98,4,75,15
240,20170122,215,2,13,30,15,0,17,40,14,-16,-69,8,37,14,-95,12,75,88,529,0,0,0,1,5,10273,10278,10,10266,16,0,23,59,11,3,91,98,23,74,13
240,20170123,186,16,20,40,15,0,3,60,13,0,-63,2,32,21,-73,6,5,6,150,3,3,3,24,2,10267,10278,10,10259,16,0,1,36,14,7,96,99,1,91,13
240,20170124,155,18,20,40,14,10,1,50,14,13,-3,11,31,3,-10,12,21,24,301,4,1,1,3,3,10285,10313,23,10256,3,1,11,59,3,8,97,99,10,94,2
240,20170125,125,27,30,40,13,20,4,70,13,-9,-41,22,7,13,-62,24,0,0,158,0,0,0,1,2,10302,10318,10,10284,24,16,4,57,21,6,88,97,1,81,15
240,20170126,122,36,38,50,11,30,7,70,10,-25,-48,8,-1,14,-62,12,73,84,504,0,0,0,1,5,10239,10280,1,10192,24,57,1,62,18,0,81,86,1,74,14
240,20170127,135,45,46,60,12,30,3,90,12,8,-42,3,47,24,-55,6,50,57,394,0,0,0,1,4,10164,10188,1,10154,24,59,6,69,24,5,76,85,2,67,24
240,20170128,161,47,53,70,11,30,18,100,10,57,24,4,94,14,13,6,27,31,339,0,0,0,1,4,10147,10159,23,10137,14,64,23,73,11,8,74,93,24,62,10
240,20170129,186,49,52,70,10,40,1,110,10,44,29,1,61,14,15,6,13,15,217,19,8,5,24,3,10158,10166,12,10126,24,56,7,67,21,8,90,95,7,86,12
240,20170130,17,5,46,80,2,20,20,110,2,50,31,18,71,9,29,18,2,2,141,74,62,18,4,2,10106,10153,24,10069,6,13,9,70,14,8,91,98,6,81,21
240,20170131,88,23,33,60,22,10,1,90,5,40,31,2,57,12,28,6,3,3,202,0,0,0,1,2,10169,10177,18,10156,1,56,23,75,12,8,83,87,1,74,12
240,20170201,138,55,55,70,9,40,4,100,2,37,4,7,64,24,-3,6,0,0,198,22,7,4,20,2,10125,10170,1,10084,23,10,8,68,18,8,88,98,8,78,15
240,20170202,148,58,59,70,11,40,2,110,15,89,57,5,129,15,49,6,28,31,405,17,7,5,24,6,10042,10080,1,10013,24,41,4,74,15,7,88,96,3,75,14
240,20170203,157,37,41,50,1,20,15,80,1,84,62,21,114,13,47,24,17,19,288,0,-1,-1,1,4,10008,10030,10,9969,24,60,5,75,20,6,85,95,6,78,14
240,20170204,147,11,33,60,3,10,19,80,2,54,25,6,72,14,12,12,8,9,272,83,96,25,21,3,9992,10005,24,9973,1,22,23,70,11,6,92,98,22,83,14
240,20170205,3,5,22,40,1,10,6,100,15,40,16,6,61,15,-7,24,3,3,254,10,3,2,2,3,10041,10118,24,10005,3,1,7,61,17,8,93,98,5,85,18
