SORT,Begrotingsprogramma,THEMA,Variabele,Label,Labelkort,Definitie,Bron,Peildatum,Verschijningsfrequentie,Rekeneenheid,Symbool,GROEP,format,Thema Kerncijfertabel,Kleurenpalet,LegendaCode,SD minimum Bevtotaal,SD minimum WvoorrBAG,Geenkerncijfer
1,Bevolking,Bevolking,BEVTOTAAL,Bevolking totaal,Bevolking totaal,Personen die op 1 januari zijn opgenomen in het bevolkingsregister van de gemeente Amsterdam (inclusief briefadreshoudenden). Personen die niet legaal in Nederland verblijven worden buiten beschouwing gelaten.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,Bevolking,9,3,0,0,0
11,Bevolking,Bevolking,BEV_PROG2015,Bevolkingsprognose 2015,Bevolkingsprognose 2015,"Prognose uit 2015 voor de omvang van de bevolking op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.",OIS,1  januari,eenmalig,2,,,F8.,,9,3,0,0,0
21,Bevolking,Bevolking,BEV_PROG2016,Bevolkingsprognose 2016,Bevolkingsprognose 2016,"Prognose uit 2016 voor de omvang van de bevolking op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.",OIS,1  januari,eenmalig,2,,,F8.,,9,3,0,0,0
31,Bevolking,Bevolking,BEV_PROG2018,Bevolkingsprognose 2018,Bevolkingsprognose 2018,"Prognose uit 2018 voor de omvang van de bevolking op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.",OIS,1  januari,eenmalig,2,,,F8.,,9,3,0,0,0
41,Bevolking,Bevolking,BEV0_17_PROG2018,Bevolkingsprognose 2018 (0-17),Bevolkingsprognose 2018 (0-17),"Prognose uit 2018 voor het aantal 0 tot en met 17-jarigen op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.",OIS,1  januari,eenmalig,2,,,F8.,,9,3,0,0,0
51,Bevolking,Bevolking,BEV18_64_PROG2018,Bevolkingsprognose 2018 (18-64),Bevolkingsprognose 2018 (18-64),"Prognose uit 2018 voor het aantal 18 tot en met 64-jarigen op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.",OIS,1  januari,eenmalig,2,,,F8.,,9,3,0,0,0
61,Bevolking,Bevolking,BEV65PLUS_PROG2018,Bevolkingsprognose 2018 (65+),Bevolkingsprognose 2018 (65+),"Prognose uit 2018 voor het aantal 65-plussers op 1 januari. Het inwonertal in toekomstige jaren wordt berekend aan de hand van verwachte demografische trends, in combinatie met de verwachte omvang van de woningvoorraad.",OIS,1  januari,eenmalig,2,,,F8.,,9,3,0,0,0
71,Bevolking,Bevolking,BEVMAN,Geslacht: mannen,Mannen,Aantal mannen op 1 januari van het peiljaar.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,geslacht,F8.,,9,3,0,0,0
81,Bevolking,Bevolking,BEVVROUW,Geslacht: vrouwen,Vrouwen,Aantal vrouwen op 1 januari van het peiljaar.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,geslacht,F8.,,9,3,0,0,0
91,Bevolking,Bevolking,BEVMAN_P,Geslacht: % mannen,Mannen (%),Aandeel mannen in de bevolking op 1 januari van het peiljaar.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
101,Bevolking,Bevolking,BEVVROUW_P,Geslacht: % vrouwen,Vrouwen (%),Aandeel vrouwen in de bevolking op 1 januari van het peiljaar.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
111,Bevolking,Bevolking,BEVDICHT,Bevolkingsdichtheid,Bevolkingsdichtheid,"Aantal bewoners per vierkante kilometer land. De peildatum van het aantal bewoners is 1 januari van het peiljaar, de peildatum van de oppervlakte is 1 januari van het peiljaar -1.",Afd. Basisinformatie / OIS,1 januari,1 keer per jaar,2,/km2,,F8.,,1,2,0,0,0
121,Bevolking,Bevolking,BEVBRIEF,Briefadreshoudenden,Briefadreshoudenden,"Personen die op 1 januari zijn opgenomen in het bevolkingsregister van de gemeente Amsterdam, maar niet woonachtig zijn op het adres waar zij staan ingeschreven.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
131,Bevolking,Bevolking,BEVINST,Bewoners van instituten,Bewoners instituten,"Aantal niet-zelfstandig wonende Amsterdammers.

Het gaat om personen in instellingen zoals verpleeg-, verzorgings- en kindertehuizen, gezinsvervangende tehuizen, revalidatiecentra, asielcentra en penitentiaire inrichtingen, die daar in principe voor langere tijd (zullen) verblijven.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
141,Bevolking,Bevolking,BEVINST_P,Bewoners instituten (%),Bewoners instituten (%),"Aandeel niet-zelfstandig wonende Amsterdammers.

Het gaat om personen in instellingen zoals verpleeg-, verzorgings- en kindertehuizen, gezinsvervangende tehuizen, revalidatiecentra, asielcentra en penitentiaire inrichtingen, die daar in principe voor langere tijd (zullen) verblijven.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
151,Bevolking,Bevolking,BEVSTUD,Bewoners studentenwoningen,Bewoners studentenwoningen,Aantal bewoners van studenteneenheden en studentencomplexen.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
161,Bevolking,Bevolking,BEVPOTBBV15_64,Potentiële beroepsbevolking 15-64,Potentiële beroepsbevolking 15-64,"De potentiele beroepsbevolking is het deel van de bevolking dat gelet op zijn leeftijd in aanmerking komt voor deelname aan het arbeidsproces, oftewel personen in de leeftijd 15 t/m 64 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
171,Bevolking,Bevolking,BEVPOTBBV15_64_P,Potentiële beroepsbevolking 15-64 (%),Potentiële beroepsbevolking 15-64 (%),Het aandeel van de bevolking met een leeftijd van 15 tot en met 64 jaar.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
181,Bevolking,Bevolking,BEVPOTBBV15_65,Potentiële beroepsbevolking 15-65,Potentiële beroepsbevolking 15-65,"De potentiele beroepsbevolking is het deel van de bevolking dat gelet op zijn leeftijd in aanmerking komt voor deelname aan het arbeidsproces, oftewel personen in de leeftijd 15 t/m 65 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam.

Vanwege het opschuiven van de AOW-leeftijd worden vanaf 2018 ook 65-jarigen gerekend tot de potentiele bereoepsbevolking.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
191,Bevolking,Bevolking,BEVPOTBBV15_74,Potentiële beroepsbevolking 15-74,Potentiële beroepsbevolking 15-74,"De potentiele beroepsbevolking is het deel van de bevolking dat gelet op zijn leeftijd in aanmerking komt voor deelname aan het arbeidsproces, oftewel personen in de leeftijd 15 t/m 74 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
201,Bevolking,Bevolking,BEVPOTBBV15_74_P,Potentiële beroepsbevolking 15-74 (%),Potentiële beroepsbevolking 15-74 (%),Het aandeel van de bevolking met een leeftijd van 15 tot en met 74 jaar.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
211,Bevolking,Bevolking,BEVSUR,Migratieachtergrond: Surinaams,Surinaams,"Het aantal Amsterdammers met geboorteland Suriname of van wie een van de ouders is geboren in Suriname. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,migratieachtergrond,F8.,,9,3,0,0,0
221,Bevolking,Bevolking,BEVANTIL,Migratieachtergrond: Antilliaans,Antilliaans,"Het aantal Amsterdammers met geboorte in de (voormalige) Nederlandse Antillen of van wie een van de ouders is geboren in de (voormalige) Nederlandse Antillen. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader. De (voormalige) Nederlandse Antillen is een samentelling van de eilanden die tot het grondgebied van de Nederlandse Antillen van vóór 10 oktober 2010 behoorden. Het gaat om de eilanden Aruba, Bonaire, Curaçao, Saba, Sint-Eustatius, Sint-Maarten.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,migratieachtergrond,F8.,,9,3,0,0,0
